,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21,2/19/21,2/20/21,2/21/21,2/22/21,2/23/21,2/24/21,2/25/21,2/26/21,2/27/21,2/28/21,3/1/21,3/2/21,3/3/21,3/4/21,3/5/21,3/6/21,3/7/21,3/8/21,3/9/21,3/10/21,3/11/21,3/12/21,3/13/21,3/14/21,3/15/21,3/16/21,3/17/21,3/18/21,3/19/21,3/20/21,3/21/21,3/22/21,3/23/21,3/24/21,3/25/21,3/26/21,3/27/21,3/28/21,3/29/21,3/30/21,3/31/21,4/1/21,4/2/21,4/3/21,4/4/21,4/5/21,4/6/21,4/7/21,4/8/21,4/9/21,4/10/21
133,Germany,51.165691,10.451526,0,0,0,0,0,1,4,4,4,5,8,10,12,12,12,12,13,13,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,27,46,48,79,130,159,196,262,482,670,799,1040,1176,1457,1908,2078,3675,4585,5795,7272,9257,12327,15320,19848,22213,24873,29056,32986,37323,43938,50871,57695,62095,66885,71808,77872,84794,91159,96092,100123,103374,107663,113296,118181,122171,124908,127854,130072,131359,134753,137698,141397,143342,145184,147065,148291,150648,153129,154999,156513,157770,158758,159912,161539,163009,164077,164967,165664,166152,167007,168162,169430,170588,171324,171879,172576,173171,174098,174478,175233,175752,176369,176551,177778,178473,179021,179710,179986,180328,180600,181200,181524,182196,182922,183189,183410,183594,183879,184121,184472,184924,185450,185750,186109,186506,186522,186691,187226,187267,187518,187682,188252,188604,189817,190299,190670,191272,191768,192480,192871,193371,194036,194458,194693,195042,195418,195893,196370,196780,197198,197523,198064,198343,198699,199001,199332,199709,199919,200180,200456,200890,201450,202045,202426,202735,203325,203717,204276,204881,205623,206278,206667,207112,207707,208546,209535,210399,211005,211220,212111,212828,214113,215039,216196,216903,217288,218508,219540,220859,222281,223791,224488,225007,226700,228120,229706,231292,233029,233861,234494,236122,237583,239010,240571,242126,242835,243305,244802,246015,247411,248840,250283,251058,251728,253626,254957,256433,258149,259735,260817,261737,263222,265014,266869,269048,271247,272932,273965,275560,277412,279025,281346,283712,285026,286339,288631,290471,292913,295539,298374,300027,301573,304673,307127,311137,315941,320495,323463,326309,332850,337314,344487,352107,359802,364664,368671,377068,385591,397922,403874,417350,427808,437698,450258,463419,479621,498354,517736,531790,544346,569598,577131,608611,631172,653992,668114,682624,689146,715693,738094,762832,785093,799733,802946,817526,843757,867484,891525,914118,927990,932367,946822,963192,995879,1017830,1038649,1052494,1055691,1069912,1094678,1117953,1141544,1157514,1183640,1194550,1200006,1229269,1254358,1287092,1314309,1336101,1350810,1357261,1391086,1423830,1454009,1486839,1508518,1514962,1534218,1570371,1604129,1630596,1632736,1646240,1658639,1672643,1692109,1741153,1760520,1762637,1773540,1783896,1796216,1814565,1841228,1886561,1905638,1928462,1929410,1941116,1968326,1993892,2015235,2023828,2038645,2050129,2059382,2071615,2100618,2108895,2125261,2137691,2147769,2154656,2164043,2179679,2194562,2207393,2224911,2225659,2232327,2240017,2252504,2265536,2276371,2285003,2291673,2296323,2302051,2311297,2321225,2330422,2336906,2341744,2346876,2352766,2362364,2372209,2381259,2388421,2394515,2399499,2405263,2416037,2427069,2436506,2444177,2450295,2455569,2462061,2472913,2484306,2493887,2502151,2508655,2513784,2520618,2541781,2546526,2559296,2569864,2578842,2585385,2603064,2610769,2639258,2654734,2669233,2670001,2678262,2699231,2722988,2744608,2765297,2782925,2784652,2794949,2818630,2843644,2866323,2882356,2886029,2896329,2902309,2909902,2940279,2966789,2990724,3009452
268,Venezuela,6.4238,-66.5897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,17,33,36,42,42,70,70,77,84,91,107,107,119,119,135,135,143,146,153,155,159,165,165,167,171,171,175,181,189,189,197,204,204,227,256,256,285,288,311,318,323,325,329,329,331,333,335,345,357,357,361,379,381,388,402,414,422,423,423,455,459,504,541,618,749,824,882,944,1010,1121,1177,1211,1245,1325,1370,1459,1510,1662,1819,1952,2087,2145,2316,2377,2473,2632,2738,2814,2879,2904,2978,3062,3150,3386,3483,3591,3789,3917,4048,4187,4366,4563,4779,5130,5297,5530,5832,6062,6273,6537,6750,7169,7411,7693,8008,8372,8803,9178,9465,9707,10010,10428,10854,11191,11483,11891,12334,12774,13164,13613,14263,14929,15463,15988,16571,17158,17859,18574,19443,20206,20754,21438,22299,23280,24166,24961,25805,26800,27938,29088,30369,31381,32607,33755,34802,35697,36868,37567,38219,38957,39564,40338,41158,41965,42898,43879,44946,45868,46728,47756,48883,49877,50973,52165,53289,54350,55563,56751,57823,58663,59630,60540,61569,62655,63416,64284,65174,65949,66656,67443,68453,69439,70406,71273,71940,72691,73528,74363,75122,76029,76820,77646,78434,79117,79796,80404,81019,81696,82453,83137,83756,84391,85005,85469,85758,86289,86636,86636,87644,88035,88416,88718,89142,89565,90047,90400,90876,91280,91589,92013,92325,92705,93100,93480,93921,94305,94698,94883,95149,95445,95750,96140,96441,96933,97352,97739,98050,98350,98665,99017,99435,99835,100143,100498,100817,101215,101524,101760,102040,102394,102621,103067,103548,103877,104177,104442,104904,105384,105852,106280,106715,107177,107786,108125,108480,108717,109081,109395,109781,110075,110513,110828,111024,111245,111603,111951,112316,112636,112861,113121,113558,113884,114083,114230,114407,114662,114908,115322,115667,116172,116610,116983,117299,117811,118415,118856,119306,119803,120444,121117,121691,122260,122795,123245,123709,124112,124525,124958,125364,125776,126323,126927,127346,127752,128315,128775,129231,129643,130116,130596,131096,131476,131828,132259,132743,133218,133577,133927,134319,134781,135114,135603,136068,136545,136986,137445,137871,138295,138739,139116,139545,139934,140383,140960,141356,141885,142338,142774,143321,143321,144277,144786,145379,145379,146488,147028,147577,148208,149145,150306,151123,151894,152508,153315,154165,154905,155663,156655,157943,159149,160497,161751,162730,164337,166123,167548,169074,170189,171373,172461,173786
